architecture,seed,concept,generator_uses_concept,heldout_probe_auc,encoded_screen,model_effect_mean_tv,model_effect_max_tv,sensitive_screen,matches_generator_dependence,tcav_positive_fraction,orthogonal_cav_erasure_mean_tv,interpretation
DeepSets,11,used,True,1.0,True,0.9997626543045044,0.9997650384902954,True,True,0.5,0.10222434997558594,descriptive_screen_not_equivalence_or_clinical_validation
DeepSets,11,unused,False,1.0,True,0.00017164874589070678,0.0002557150728534907,False,True,0.0,0.003439506748691201,descriptive_screen_not_equivalence_or_clinical_validation
DeepSets,11,relational,True,0.5,False,0.0,0.0,False,False,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
DeepSets,11,irrelevant,False,0.5,False,0.0,0.0,False,True,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
DeepSets,23,used,True,1.0,True,0.999822735786438,0.9998363852500916,True,True,0.5,0.2990986406803131,descriptive_screen_not_equivalence_or_clinical_validation
DeepSets,23,unused,False,1.0,True,0.00015522890316788107,0.00019316152611281723,False,True,0.5,0.004566830582916737,descriptive_screen_not_equivalence_or_clinical_validation
DeepSets,23,relational,True,0.5,False,0.0,0.0,False,False,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
DeepSets,23,irrelevant,False,0.5,False,0.0,0.0,False,True,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
DeepSets,37,used,True,1.0,True,0.9996235370635986,0.9998164176940918,True,True,0.5,0.05040685087442398,descriptive_screen_not_equivalence_or_clinical_validation
DeepSets,37,unused,False,1.0,True,0.0004724588361568749,0.0006355296354740858,False,True,0.0,0.002061731182038784,descriptive_screen_not_equivalence_or_clinical_validation
DeepSets,37,relational,True,0.5,False,0.0,0.0,False,False,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
DeepSets,37,irrelevant,False,0.5,False,0.0,0.0,False,True,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
GCN,11,used,True,1.0,True,0.9990062117576599,0.9999898672103882,True,True,0.5,0.07165399938821793,descriptive_screen_not_equivalence_or_clinical_validation
GCN,11,unused,False,1.0,True,0.0010387436486780643,0.0018359634559601545,False,True,0.75,0.000538922380656004,descriptive_screen_not_equivalence_or_clinical_validation
GCN,11,relational,True,1.0,True,0.9961632490158081,0.9975736737251282,True,True,0.5,0.015250764787197113,descriptive_screen_not_equivalence_or_clinical_validation
GCN,11,irrelevant,False,0.5,False,0.0,0.0,False,True,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
GCN,23,used,True,1.0,True,0.9981648325920105,0.9999938011169434,True,True,0.5,0.43587806820869446,descriptive_screen_not_equivalence_or_clinical_validation
GCN,23,unused,False,1.0,True,0.0005251287948340178,0.000629782909527421,False,True,0.0,4.147872095927596e-05,descriptive_screen_not_equivalence_or_clinical_validation
GCN,23,relational,True,1.0,True,0.9948408007621765,0.9962848424911499,True,True,0.5,0.01174530666321516,descriptive_screen_not_equivalence_or_clinical_validation
GCN,23,irrelevant,False,0.5,False,0.0,0.0,False,True,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
GCN,37,used,True,1.0,True,0.9986369609832764,0.9999969601631165,True,True,0.5,0.003559177741408348,descriptive_screen_not_equivalence_or_clinical_validation
GCN,37,unused,False,1.0,True,0.00042993336683139205,0.0006898521678522229,False,True,0.25,2.8255873985472135e-05,descriptive_screen_not_equivalence_or_clinical_validation
GCN,37,relational,True,1.0,True,0.9950833320617676,0.9979203939437866,True,True,0.5,0.0008570938371121883,descriptive_screen_not_equivalence_or_clinical_validation
GCN,37,irrelevant,False,0.5,False,0.0,0.0,False,True,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
GraphSAGE,11,used,True,1.0,True,0.9998598694801331,0.9999471306800842,True,True,0.5,0.09845087677240372,descriptive_screen_not_equivalence_or_clinical_validation
GraphSAGE,11,unused,False,1.0,True,8.584815077483654e-05,0.00022937433095648885,False,True,0.75,1.8236500181956217e-05,descriptive_screen_not_equivalence_or_clinical_validation
GraphSAGE,11,relational,True,1.0,True,0.9998435378074646,0.999908983707428,True,True,0.5,0.10065783560276031,descriptive_screen_not_equivalence_or_clinical_validation
GraphSAGE,11,irrelevant,False,0.5,False,0.0,0.0,False,True,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
GraphSAGE,23,used,True,1.0,True,0.999869704246521,0.9999987483024597,True,True,0.5,0.005294095724821091,descriptive_screen_not_equivalence_or_clinical_validation
GraphSAGE,23,unused,False,1.0,True,0.00010113045573234558,0.000158723458298482,False,True,0.5,3.991614903497975e-06,descriptive_screen_not_equivalence_or_clinical_validation
GraphSAGE,23,relational,True,1.0,True,0.9997537136077881,0.9999313354492188,True,True,0.5,0.05728153884410858,descriptive_screen_not_equivalence_or_clinical_validation
GraphSAGE,23,irrelevant,False,0.5,False,0.0,0.0,False,True,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
GraphSAGE,37,used,True,1.0,True,0.9999021291732788,0.9999821782112122,True,True,0.5,0.022271623834967613,descriptive_screen_not_equivalence_or_clinical_validation
GraphSAGE,37,unused,False,1.0,True,6.480505544459447e-05,0.0001589532766956836,False,True,0.5,8.048536983551458e-06,descriptive_screen_not_equivalence_or_clinical_validation
GraphSAGE,37,relational,True,1.0,True,0.9998145699501038,0.9999405741691589,True,True,0.5,0.016147330403327942,descriptive_screen_not_equivalence_or_clinical_validation
GraphSAGE,37,irrelevant,False,0.5,False,0.0,0.0,False,True,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
GATv2,11,used,True,1.0,True,0.9997712969779968,0.9999747276306152,True,True,0.5,0.00010085754911415279,descriptive_screen_not_equivalence_or_clinical_validation
