image_id,description_libre,concept_principal,autres_concepts,interpretable_oui_non,confiance_1_a_5,commentaire,cluster,patient_id,prototype_selection,annotation_origin,independent_expert_validation
R001,"Petit amas de cellules épithélioïdes foncées au sein d'un stroma collagénique dense, avec transition nette vers la matrice rose.",interface épithélio-stromale,stroma collagénique dense; petit amas épithélioïde,oui,4,Motif mixte; le patch couvre surtout la zone de contact plutôt qu'un compartiment pur.,2,154,central,AI_self_declared_non_pathologist,False
R002,Cellules épithéliales cuboïdes à noyaux ronds disposées autour d'une lumière glandulaire.,épithélium glandulaire,lumière glandulaire; polarité épithéliale,oui,5,Architecture glandulaire bien visible.,2,114,central,AI_self_declared_non_pathologist,False
R003,"Faisceaux ondulés de collagène, très peu cellulaires, avec quelques noyaux fusiformes dispersés.",stroma collagénique dense,cellules fusiformes stromales,oui,5,Motif stromal relativement pur.,4,63,central,AI_self_declared_non_pathologist,False
R004,Bord d'une structure glandulaire juxtaposé à un stroma collagénique fibreux.,interface épithélio-stromale,épithélium glandulaire; stroma collagénique,oui,4,Le patch mélange les deux compartiments.,4,92,central,AI_self_declared_non_pathologist,False
R005,Amas épithélial très cellulaire avec noyaux ronds à ovalaires foncés et petites lumières irrégulières.,épithélium glandulaire cellulaire,petites lumières glandulaires; atypie nucléaire morphologique,oui,5,"Description morphologique uniquement, sans attribution diagnostique.",3,18,central,AI_self_declared_non_pathologist,False
R006,"Structures glandulaires formées de cellules épithélioïdes volumineuses, avec lumières ou vacuoles et stroma adjacent.",épithélium glandulaire,lumières/vacuoles; stroma adjacent,oui,5,Motif épithélial dominant.,3,143,central,AI_self_declared_non_pathologist,False
R007,Petit cordon de cellules épithélioïdes allongées inclus dans un stroma pâle fibreux.,cordon épithélioïde dans stroma fibreux,interface épithélio-stromale; stroma collagénique,oui,3,Petit champ et contraste limité; nature exacte du cordon non certaine.,4,37,central,AI_self_declared_non_pathologist,False
R008,"Stroma collagénique immédiatement au contact d'une structure glandulaire, avec un noyau fusiforme stromal.",stroma collagénique périépithélial,cellule fusiforme stromale; interface épithélio-stromale,oui,4,Le signal est surtout stromal malgré la proximité glandulaire.,0,51,central,AI_self_declared_non_pathologist,False
R009,Faisceaux collagéniques ondulés contenant une cellule stromale fusiforme sombre.,cellule fusiforme stromale dans collagène,stroma collagénique dense,oui,4,Un noyau fusiforme domine le centre du patch.,2,123,complementaire,AI_self_declared_non_pathologist,False
R010,Stroma rose fibreux avec noyau allongé fusiforme entre des faisceaux de collagène.,cellule fusiforme stromale dans collagène,stroma collagénique,oui,4,"Aspect compatible avec un élément stromal fusiforme, sans typage cellulaire spécifique.",1,92,central,AI_self_declared_non_pathologist,False
R011,"Grandes cellules épithélioïdes à cytoplasme clair ou vacuolisé, avec noyaux relativement volumineux et irréguliers.",foyer épithélioïde atypique,vacuolisation cytoplasmique; atypie nucléaire morphologique,oui,4,Le contexte est très cellulaire; pas de diagnostic forcé.,3,52,central,AI_self_declared_non_pathologist,False
R012,Transition abrupte entre une zone très cellulaire et un stroma collagénique dense.,interface épithélio-stromale,tissu épithélioïde très cellulaire; stroma collagénique dense,oui,5,Frontière tissulaire nette dans le contexte.,4,11,central,AI_self_declared_non_pathologist,False
R013,Cellules épithéliales regroupées autour de petites lumières ou vacuoles dans une structure glandulaire.,épithélium glandulaire,lumières/vacuoles; stroma périglandulaire,oui,4,Motif glandulaire identifiable malgré un contraste pâle.,4,173,central,AI_self_declared_non_pathologist,False
R014,"Rangée de cellules épithéliales polarisées bordant une lumière glandulaire, avec stroma externe.",revêtement épithélial glandulaire,lumière glandulaire; stroma périglandulaire,oui,5,Architecture de bord glandulaire très nette.,0,123,central,AI_self_declared_non_pathologist,False
R015,"Contact entre cellules épithéliales glandulaires et stroma collagénique, avec petite lumière adjacente.",interface épithélio-stromale,épithélium glandulaire; stroma collagénique,oui,4,Patch mixte centré sur la zone de contact.,0,44,central,AI_self_declared_non_pathologist,False
R016,Stroma rose fibreux assez cellulaire avec plusieurs noyaux fusiformes ou ovalaires et quelques petits noyaux ronds.,stroma fibrocellulaire,cellules fusiformes stromales; petites cellules mononucléées,oui,4,Population stromale mixte; typage précis impossible sur H&E seul.,2,104,central,AI_self_declared_non_pathologist,False
R017,"Petit amas de quelques cellules rondes à ovalaires, plus volumineuses que les petits noyaux stromaux voisins, dans le collagène.",petit amas épithélioïde stromal,stroma collagénique; cellules mononucléées voisines,oui,3,Petit nombre de cellules; identité épithéliale probable mais non certaine.,3,142,central,AI_self_declared_non_pathologist,False
R018,Longs faisceaux parallèles et ondulés de collagène avec très faible cellularité.,stroma collagénique dense,rare noyau fusiforme,oui,5,Motif stromal pur et reproductible.,0,63,central,AI_self_declared_non_pathologist,False
R019,"Repli de cellules épithéliales bordant une large lumière, avec axe conjonctif au centre du repli.",épithélium glandulaire en repli,axe fibroconjonctif; grande lumière,oui,5,Architecture épithéliale en repli bien lisible.,0,20,central,AI_self_declared_non_pathologist,False
R020,Petite structure cellulaire au sein d'un stroma collagénique abondant; limites et organisation partiellement floues.,petite structure épithélioïde dans stroma,interface épithélio-stromale; stroma collagénique,oui,3,Résolution locale limitée; organisation glandulaire possible mais non certaine.,4,187,complementaire,AI_self_declared_non_pathologist,False
R021,"Matrice collagénique ondulée, peu cellulaire, séparant des structures glandulaires voisines.",stroma collagénique dense,rare cellule fusiforme; stroma périglandulaire,oui,5,Patch essentiellement stromal.,0,3,central,AI_self_declared_non_pathologist,False
R022,Population épithélioïde dense avec noyaux irréguliers et formation glandulaire incomplète ou irrégulière.,épithélium glandulaire atypique,forte cellularité; atypie nucléaire morphologique,oui,5,Morphologie épithéliale dominante; pas de diagnostic attribué.,2,18,central,AI_self_declared_non_pathologist,False
R023,Nids et petites structures glandulaires de cellules épithélioïdes foncées dans un stroma fibreux.,amas épithéliaux glandulaires,stroma collagénique; petites lumières,oui,5,Plusieurs nids épithéliaux visibles dans le contexte.,2,31,central,AI_self_declared_non_pathologist,False
R024,"Zone pâle constituée presque exclusivement de faisceaux de collagène, avec très rares noyaux.",stroma collagénique dense,faible cellularité,oui,5,Motif stromal très pur.,1,37,central,AI_self_declared_non_pathologist,False
R025,"Stroma fibreux pâle à faible contraste, avec collagène abondant et quelques noyaux allongés dispersés.",stroma collagénique peu cellulaire,cellules fusiformes stromales,oui,4,Coloration très pâle mais motif stromal identifiable.,4,157,central,AI_self_declared_non_pathologist,False
R026,Stroma fibreux relativement cellulaire avec plusieurs noyaux fusiformes et quelques noyaux plus arrondis.,stroma fibrocellulaire,cellules fusiformes stromales; petites cellules mononucléées,oui,4,Le patch est stromal mais hétérogène.,1,104,central,AI_self_declared_non_pathologist,False
R027,"Matrice collagénique compacte et homogène, pratiquement dépourvue de cellules au centre.",stroma collagénique dense,faible cellularité,oui,5,Motif très pur.,1,181,central,AI_self_declared_non_pathologist,False
R028,"Petite structure épithélioïde avec vacuole ou petite lumière, enchâssée dans un stroma fibreux proche du tissu adipeux.",petite structure glandulaire dans stroma,interface épithélio-stromale; tissu adipeux adjacent,oui,3,Champ réduit; la nature exacte de la petite structure reste incertaine.,4,184,central,AI_self_declared_non_pathologist,False
R029,"Cellules épithéliales organisées autour d'une lumière, avec cytoplasme relativement clair.",épithélium glandulaire,lumière glandulaire; vacuolisation cytoplasmique,oui,5,Motif glandulaire bien visible.,2,70,central,AI_self_declared_non_pathologist,False
R030,"Petit groupe de cellules épithéliales au bord d'une structure glandulaire, en contact direct avec un stroma fibreux.",interface épithélio-stromale,épithélium glandulaire; stroma collagénique,oui,4,Le patch contient simultanément bord glandulaire et stroma.,2,44,complementaire,AI_self_declared_non_pathologist,False
R031,"Stroma collagénique avec cellules dispersées, surtout noyaux ovalaires ou fusiformes, et quelques petits noyaux ronds.",stroma fibrocellulaire,petites cellules mononucléées; collagène dense,oui,3,Population cellulaire mixte sans typage fiable.,3,141,central,AI_self_declared_non_pathologist,False
R032,"Faisceaux épais et parallèles de collagène fortement éosinophile, avec très peu de noyaux.",stroma collagénique dense,faible cellularité,oui,5,Motif fibreux dominant.,0,121,central,AI_self_declared_non_pathologist,False
R033,Stroma collagénique avec un noyau stromal allongé et fusiforme au centre du champ.,cellule fusiforme stromale dans collagène,stroma collagénique; stroma périglandulaire,oui,4,Le noyau fusiforme est le principal élément cellulaire.,0,187,complementaire,AI_self_declared_non_pathologist,False
R034,"Petit foyer de trois à quatre cellules mononucléées rondes dans un stroma fibreux, près d'un espace adipeux.",petites cellules mononucléées stromales,stroma collagénique; interface adipo-stromale,oui,3,"Compatible avec un petit infiltrat mononucléé, mais le type cellulaire ne peut pas être affirmé.",1,141,central,AI_self_declared_non_pathologist,False
R035,"Grandes cellules épithélioïdes à cytoplasme clair ou granuleux et noyaux volumineux, regroupées de façon compacte.",foyer épithélioïde atypique,vacuolisation cytoplasmique; atypie nucléaire morphologique,oui,5,"Motif épithélial très net, sans conclusion diagnostique.",2,52,central,AI_self_declared_non_pathologist,False
R036,Collagène dense ondulé avec un noyau fusiforme isolé dans la matrice.,stroma collagénique dense,cellule fusiforme stromale,oui,5,Patch stromal très pur.,1,97,complementaire,AI_self_declared_non_pathologist,False
R037,Deux petites cellules rondes foncées isolées au sein d'un stroma collagénique abondant.,petites cellules mononucléées stromales,stroma collagénique dense,oui,3,"Pourrait correspondre à des cellules inflammatoires, mais le typage n'est pas certain.",4,142,central,AI_self_declared_non_pathologist,False
R038,Amas dense de petites cellules rondes très foncées entourant des structures épithéliales plus grandes.,infiltrat de petites cellules mononucléées,structures épithéliales adjacentes,oui,5,"Morphologie compatible avec un infiltrat inflammatoire mononucléé, sans sous-typage.",2,69,complementaire,AI_self_declared_non_pathologist,False
R039,Faisceaux collagéniques serrés avec un seul petit noyau stromal visible dans le champ.,stroma collagénique dense,faible cellularité,oui,5,Motif stromal prédominant.,2,141,central,AI_self_declared_non_pathologist,False
R040,Collagène disposé en faisceaux tourbillonnants avec très peu de cellules.,stroma collagénique dense,architecture fibreuse tourbillonnante,oui,5,Motif fibreux très net.,1,142,central,AI_self_declared_non_pathologist,False
R041,Bord d'un adipocyte ou espace adipeux avec septum fibreux et noyau stromal allongé.,interface adipo-stromale,septum fibreux; cellule fusiforme stromale,oui,4,Le motif principal est la jonction tissu adipeux-stroma.,0,184,complementaire,AI_self_declared_non_pathologist,False
R042,Cellules fusiformes allongées dans un stroma collagénique situé entre des structures glandulaires.,cellules fusiformes stromales,stroma collagénique; structures glandulaires adjacentes,oui,5,Motif stromal cellulaire bien visible.,4,31,complementaire,AI_self_declared_non_pathologist,False
R043,"Petit élément fusiforme/allongé dans un stroma pâle, au voisinage immédiat d'un tissu épithélioïde très cellulaire.",cellule fusiforme stromale,interface épithélio-stromale,oui,3,Champ restreint et contraste faible; identité cellulaire non spécifique.,4,71,central,AI_self_declared_non_pathologist,False
R044,Matrice collagénique ondulée avec une cellule stromale fusiforme ou étoilée isolée.,cellule fusiforme stromale dans collagène,stroma collagénique dense,oui,5,Aspect stromal très caractéristique.,2,12,central,AI_self_declared_non_pathologist,False
R045,"Zone de collagène dense et ondulé, très faiblement cellulaire, adjacente à un amas glandulaire.",stroma collagénique dense,stroma périglandulaire,oui,5,Patch essentiellement stromal.,1,63,central,AI_self_declared_non_pathologist,False
R046,"Structure allongée tubulaire ou canaliculaire dans un stroma collagénique pâle, avec plusieurs profils ovalaires.",structure tubulaire stromale,stroma collagénique,oui,2,"Nature vasculaire, ductale ou autre non déterminable avec ce seul petit champ.",0,173,central,AI_self_declared_non_pathologist,False
R047,"Population épithélioïde très dense composée de nombreux noyaux ronds à ovalaires, avec peu de stroma visible.",amas épithélioïde très cellulaire,architecture solide; atypie nucléaire morphologique,oui,5,Compartiment épithélioïde dominant.,1,11,central,AI_self_declared_non_pathologist,False
R048,Cellules épithéliales glandulaires avec cytoplasme clair/vacuolisé et petites lumières.,épithélium glandulaire,vacuolisation cytoplasmique; petites lumières,oui,5,Motif glandulaire net.,4,70,complementaire,AI_self_declared_non_pathologist,False
R049,Collagène dense contenant un noyau fusiforme allongé au centre du patch.,cellule fusiforme stromale dans collagène,stroma collagénique dense,oui,5,Motif stromal simple et lisible.,0,97,complementaire,AI_self_declared_non_pathologist,False
R050,Faisceaux épais et ondulés de collagène avec très faible cellularité.,stroma collagénique dense,faible cellularité,oui,5,Aucun autre motif majeur dans le patch.,0,47,central,AI_self_declared_non_pathologist,False
R051,Stroma collagénique avec noyau fusiforme au voisinage immédiat d'une structure glandulaire.,stroma collagénique périépithélial,cellule fusiforme stromale; interface épithélio-stromale,oui,4,Le patch est surtout stromal malgré la proximité de l'épithélium.,0,70,central,AI_self_declared_non_pathologist,False
R052,"Stroma fibreux cellulaire entre des nids glandulaires, contenant plusieurs noyaux fusiformes.",stroma fibrocellulaire,cellules fusiformes stromales; structures glandulaires adjacentes,oui,5,Motif stromal interglandulaire bien visible.,1,31,central,AI_self_declared_non_pathologist,False
R053,Image locale très floue et peu structurée; aucun motif cellulaire ou tissulaire ne peut être défini de façon fiable.,indéterminé,,non,1,Flou important et champ insuffisant pour une annotation morphologique robuste.,4,69,complementaire,AI_self_declared_non_pathologist,False
R054,"Zone pâle de collagène ondulé avec rares noyaux fusiformes, adjacente à une structure glandulaire.",stroma collagénique dense,rare cellule fusiforme; stroma périglandulaire,oui,5,Motif essentiellement stromal.,2,3,central,AI_self_declared_non_pathologist,False
R055,Bord d'une structure glandulaire avec cellules épithéliales d'un côté et stroma collagénique de l'autre.,interface épithélio-stromale,épithélium glandulaire; stroma collagénique,oui,4,Zone de contact clairement représentée.,2,92,central,AI_self_declared_non_pathologist,False
R056,Petit foyer de cellules épithélioïdes avec une petite lumière ou vacuole au sein d'un stroma collagénique abondant.,petite structure glandulaire dans stroma,interface épithélio-stromale; stroma collagénique,oui,3,Structure de petite taille; architecture glandulaire probable mais non certaine.,1,155,central,AI_self_declared_non_pathologist,False
R057,"Stroma fibreux assez cellulaire entre plusieurs structures épithéliales, avec noyaux fusiformes et ovalaires.",stroma fibrocellulaire interglandulaire,cellules fusiformes stromales; interface épithélio-stromale,oui,4,Le contexte est mixte mais le centre du patch est stromal.,3,150,central,AI_self_declared_non_pathologist,False
R058,Frontière entre un amas glandulaire épithélial et un stroma collagénique contenant des noyaux fusiformes.,interface épithélio-stromale,épithélium glandulaire; cellules fusiformes stromales,oui,5,Interface bien définie.,0,31,central,AI_self_declared_non_pathologist,False
R059,Stroma très pâle constitué de longs faisceaux de collagène avec presque aucune cellule.,stroma collagénique dense,faible cellularité,oui,5,Motif stromal pur malgré une coloration faible.,0,174,central,AI_self_declared_non_pathologist,False
R060,Cellules épithélioïdes serrées avec noyaux irréguliers et organisation glandulaire ou solide complexe.,épithélium glandulaire atypique,forte cellularité; petites lumières irrégulières,oui,5,Morphologie épithéliale dominante; pas de diagnostic forcé.,1,18,central,AI_self_declared_non_pathologist,False
R061,"Collagène dense et éosinophile, peu cellulaire, avec un petit espace allongé clair dans le stroma.",stroma collagénique dense,petit espace tubulaire/vasculaire possible,oui,4,La nature du petit espace clair n'est pas déterminable.,1,20,complementaire,AI_self_declared_non_pathologist,False
R062,"Zone de collagène pâle, ondulé et très faiblement cellulaire au voisinage de structures glandulaires.",stroma collagénique dense,stroma périglandulaire,oui,5,Patch presque exclusivement stromal.,4,44,central,AI_self_declared_non_pathologist,False
R063,Noyau stromal fusiforme sombre entouré de faisceaux de collagène ondulés.,cellule fusiforme stromale dans collagène,stroma collagénique dense,oui,5,Motif cellulaire stromal focal très net.,0,142,complementaire,AI_self_declared_non_pathologist,False
R064,Quelques petites cellules mononucléées rondes ou ovalaires disposées le long d'une jonction avec du tissu adipeux.,petites cellules mononucléées à l'interface adipo-stromale,interface adipo-stromale; stroma fibreux,oui,4,Un sous-typage inflammatoire ne peut pas être affirmé sur ce patch seul.,2,184,complementaire,AI_self_declared_non_pathologist,False
R065,Petit amas ou cordon épithélioïde enchâssé dans un stroma collagénique dense.,petit amas épithélioïde dans stroma,interface épithélio-stromale; stroma collagénique dense,oui,4,Le patch met surtout en évidence l'inclusion d'un petit foyer cellulaire dans la matrice fibreuse.,4,154,central,AI_self_declared_non_pathologist,False
R066,"Collagène dense en faisceaux enchevêtrés ou tourbillonnants, avec très peu de cellules.",stroma collagénique dense,architecture fibreuse tourbillonnante,oui,5,Motif stromal pur.,4,155,central,AI_self_declared_non_pathologist,False
R067,"Matrice collagénique homogène et dense, pratiquement acellulaire dans la zone sélectionnée.",stroma collagénique dense,faible cellularité,oui,5,Très peu d'éléments cellulaires dans le patch.,1,154,central,AI_self_declared_non_pathologist,False
R068,"Amas de grandes cellules épithélioïdes éosinophiles à noyaux volumineux, en bordure d'un faisceau fibreux.",foyer épithélioïde atypique,interface épithélio-stromale; atypie nucléaire morphologique,oui,4,La zone sélectionnée est cellulaire et adjacente au stroma; pas de conclusion diagnostique.,2,143,central,AI_self_declared_non_pathologist,False
