image_id,description_libre,concept_principal,autres_concepts,interpretable_oui_non,confiance_1_a_5,commentaire
R001,"Petit amas de cellules épithélioïdes foncées au sein d'un stroma collagénique dense, avec transition nette vers la matrice rose.",interface épithélio-stromale,stroma collagénique dense; petit amas épithélioïde,oui,4,Motif mixte; le patch couvre surtout la zone de contact plutôt qu'un compartiment pur.
R002,Cellules épithéliales cuboïdes à noyaux ronds disposées autour d'une lumière glandulaire.,épithélium glandulaire,lumière glandulaire; polarité épithéliale,oui,5,Architecture glandulaire bien visible.
R003,"Faisceaux ondulés de collagène, très peu cellulaires, avec quelques noyaux fusiformes dispersés.",stroma collagénique dense,cellules fusiformes stromales,oui,5,Motif stromal relativement pur.
R004,Bord d'une structure glandulaire juxtaposé à un stroma collagénique fibreux.,interface épithélio-stromale,épithélium glandulaire; stroma collagénique,oui,4,Le patch mélange les deux compartiments.
R005,Amas épithélial très cellulaire avec noyaux ronds à ovalaires foncés et petites lumières irrégulières.,épithélium glandulaire cellulaire,petites lumières glandulaires; atypie nucléaire morphologique,oui,5,"Description morphologique uniquement, sans attribution diagnostique."
R006,"Structures glandulaires formées de cellules épithélioïdes volumineuses, avec lumières ou vacuoles et stroma adjacent.",épithélium glandulaire,lumières/vacuoles; stroma adjacent,oui,5,Motif épithélial dominant.
R007,Petit cordon de cellules épithélioïdes allongées inclus dans un stroma pâle fibreux.,cordon épithélioïde dans stroma fibreux,interface épithélio-stromale; stroma collagénique,oui,3,Petit champ et contraste limité; nature exacte du cordon non certaine.
R008,"Stroma collagénique immédiatement au contact d'une structure glandulaire, avec un noyau fusiforme stromal.",stroma collagénique périépithélial,cellule fusiforme stromale; interface épithélio-stromale,oui,4,Le signal est surtout stromal malgré la proximité glandulaire.
R009,Faisceaux collagéniques ondulés contenant une cellule stromale fusiforme sombre.,cellule fusiforme stromale dans collagène,stroma collagénique dense,oui,4,Un noyau fusiforme domine le centre du patch.
R010,Stroma rose fibreux avec noyau allongé fusiforme entre des faisceaux de collagène.,cellule fusiforme stromale dans collagène,stroma collagénique,oui,4,"Aspect compatible avec un élément stromal fusiforme, sans typage cellulaire spécifique."
R011,"Grandes cellules épithélioïdes à cytoplasme clair ou vacuolisé, avec noyaux relativement volumineux et irréguliers.",foyer épithélioïde atypique,vacuolisation cytoplasmique; atypie nucléaire morphologique,oui,4,Le contexte est très cellulaire; pas de diagnostic forcé.
R012,Transition abrupte entre une zone très cellulaire et un stroma collagénique dense.,interface épithélio-stromale,tissu épithélioïde très cellulaire; stroma collagénique dense,oui,5,Frontière tissulaire nette dans le contexte.
R013,Cellules épithéliales regroupées autour de petites lumières ou vacuoles dans une structure glandulaire.,épithélium glandulaire,lumières/vacuoles; stroma périglandulaire,oui,4,Motif glandulaire identifiable malgré un contraste pâle.
R014,"Rangée de cellules épithéliales polarisées bordant une lumière glandulaire, avec stroma externe.",revêtement épithélial glandulaire,lumière glandulaire; stroma périglandulaire,oui,5,Architecture de bord glandulaire très nette.
R015,"Contact entre cellules épithéliales glandulaires et stroma collagénique, avec petite lumière adjacente.",interface épithélio-stromale,épithélium glandulaire; stroma collagénique,oui,4,Patch mixte centré sur la zone de contact.
R016,Stroma rose fibreux assez cellulaire avec plusieurs noyaux fusiformes ou ovalaires et quelques petits noyaux ronds.,stroma fibrocellulaire,cellules fusiformes stromales; petites cellules mononucléées,oui,4,Population stromale mixte; typage précis impossible sur H&E seul.
R017,"Petit amas de quelques cellules rondes à ovalaires, plus volumineuses que les petits noyaux stromaux voisins, dans le collagène.",petit amas épithélioïde stromal,stroma collagénique; cellules mononucléées voisines,oui,3,Petit nombre de cellules; identité épithéliale probable mais non certaine.
R018,Longs faisceaux parallèles et ondulés de collagène avec très faible cellularité.,stroma collagénique dense,rare noyau fusiforme,oui,5,Motif stromal pur et reproductible.
R019,"Repli de cellules épithéliales bordant une large lumière, avec axe conjonctif au centre du repli.",épithélium glandulaire en repli,axe fibroconjonctif; grande lumière,oui,5,Architecture épithéliale en repli bien lisible.
R020,Petite structure cellulaire au sein d'un stroma collagénique abondant; limites et organisation partiellement floues.,petite structure épithélioïde dans stroma,interface épithélio-stromale; stroma collagénique,oui,3,Résolution locale limitée; organisation glandulaire possible mais non certaine.
R021,"Matrice collagénique ondulée, peu cellulaire, séparant des structures glandulaires voisines.",stroma collagénique dense,rare cellule fusiforme; stroma périglandulaire,oui,5,Patch essentiellement stromal.
R022,Population épithélioïde dense avec noyaux irréguliers et formation glandulaire incomplète ou irrégulière.,épithélium glandulaire atypique,forte cellularité; atypie nucléaire morphologique,oui,5,Morphologie épithéliale dominante; pas de diagnostic attribué.
R023,Nids et petites structures glandulaires de cellules épithélioïdes foncées dans un stroma fibreux.,amas épithéliaux glandulaires,stroma collagénique; petites lumières,oui,5,Plusieurs nids épithéliaux visibles dans le contexte.
R024,"Zone pâle constituée presque exclusivement de faisceaux de collagène, avec très rares noyaux.",stroma collagénique dense,faible cellularité,oui,5,Motif stromal très pur.
R025,"Stroma fibreux pâle à faible contraste, avec collagène abondant et quelques noyaux allongés dispersés.",stroma collagénique peu cellulaire,cellules fusiformes stromales,oui,4,Coloration très pâle mais motif stromal identifiable.
R026,Stroma fibreux relativement cellulaire avec plusieurs noyaux fusiformes et quelques noyaux plus arrondis.,stroma fibrocellulaire,cellules fusiformes stromales; petites cellules mononucléées,oui,4,Le patch est stromal mais hétérogène.
R027,"Matrice collagénique compacte et homogène, pratiquement dépourvue de cellules au centre.",stroma collagénique dense,faible cellularité,oui,5,Motif très pur.
R028,"Petite structure épithélioïde avec vacuole ou petite lumière, enchâssée dans un stroma fibreux proche du tissu adipeux.",petite structure glandulaire dans stroma,interface épithélio-stromale; tissu adipeux adjacent,oui,3,Champ réduit; la nature exacte de la petite structure reste incertaine.
R029,"Cellules épithéliales organisées autour d'une lumière, avec cytoplasme relativement clair.",épithélium glandulaire,lumière glandulaire; vacuolisation cytoplasmique,oui,5,Motif glandulaire bien visible.
R030,"Petit groupe de cellules épithéliales au bord d'une structure glandulaire, en contact direct avec un stroma fibreux.",interface épithélio-stromale,épithélium glandulaire; stroma collagénique,oui,4,Le patch contient simultanément bord glandulaire et stroma.
R031,"Stroma collagénique avec cellules dispersées, surtout noyaux ovalaires ou fusiformes, et quelques petits noyaux ronds.",stroma fibrocellulaire,petites cellules mononucléées; collagène dense,oui,3,Population cellulaire mixte sans typage fiable.
R032,"Faisceaux épais et parallèles de collagène fortement éosinophile, avec très peu de noyaux.",stroma collagénique dense,faible cellularité,oui,5,Motif fibreux dominant.
R033,Stroma collagénique avec un noyau stromal allongé et fusiforme au centre du champ.,cellule fusiforme stromale dans collagène,stroma collagénique; stroma périglandulaire,oui,4,Le noyau fusiforme est le principal élément cellulaire.
R034,"Petit foyer de trois à quatre cellules mononucléées rondes dans un stroma fibreux, près d'un espace adipeux.",petites cellules mononucléées stromales,stroma collagénique; interface adipo-stromale,oui,3,"Compatible avec un petit infiltrat mononucléé, mais le type cellulaire ne peut pas être affirmé."
R035,"Grandes cellules épithélioïdes à cytoplasme clair ou granuleux et noyaux volumineux, regroupées de façon compacte.",foyer épithélioïde atypique,vacuolisation cytoplasmique; atypie nucléaire morphologique,oui,5,"Motif épithélial très net, sans conclusion diagnostique."
R036,Collagène dense ondulé avec un noyau fusiforme isolé dans la matrice.,stroma collagénique dense,cellule fusiforme stromale,oui,5,Patch stromal très pur.
R037,Deux petites cellules rondes foncées isolées au sein d'un stroma collagénique abondant.,petites cellules mononucléées stromales,stroma collagénique dense,oui,3,"Pourrait correspondre à des cellules inflammatoires, mais le typage n'est pas certain."
R038,Amas dense de petites cellules rondes très foncées entourant des structures épithéliales plus grandes.,infiltrat de petites cellules mononucléées,structures épithéliales adjacentes,oui,5,"Morphologie compatible avec un infiltrat inflammatoire mononucléé, sans sous-typage."
