methode,domaine,type_de_concept,intervention,retour_a_image,controle_de_realisme,multi_cohorte,limite,source,niveau_de_verification
GCExplainer,graphes,clusters de representations,interaction humaine sur concepts,exemples de sous-graphes,non etabli par le resume,plusieurs jeux de graphes; pas validation clinique BRACS BACH,decouverte de concepts distincte de leur usage sous edition valide,https://arxiv.org/abs/2107.11889,resume
Digital Histopathology with GNNs,histopathologie mammaire,GCExplainer et regles logiques,non centrale au protocole presente,exemples histologiques,non etabli dans le texte consulte,classification BACH; PanNuke pour segmentation; pas transfert diagnostique BRACS BACH presente,regles LEN et importance de concepts dans un modele explicatif; audit interventionnel du GNN gele distinct,https://arxiv.org/html/2312.02225v1,texte HTML
Concept Backpropagation,multimodal,concepts supervises par sondes,perturbation de entree guidee par sonde,oui espace entree,non etabli par le resume,non etabli par le resume,maximiser une sonde ne suffit pas a isoler un concept,https://arxiv.org/abs/2307.12601,resume
TCAV,images,concepts fournis et directions latentes,derivee directionnelle,exemples de concepts,non etabli par le resume,non etabli pour cohortes mammaires,mesure locale de sensibilite distincte de editions finies plausibles,https://proceedings.mlr.press/v80/kim18d.html,resume editeur
ACE,images,concepts visuels decouverts,importance des concepts,exemples visuels,non etabli par le resume,non etabli pour cohortes mammaires,decouverte automatique ne garantit pas annotation clinique,https://arxiv.org/abs/1902.03129,resume
Concept Bottleneck Models,images et radiographies,concepts supervises,correction des valeurs du bottleneck,non etabli par le resume,non etabli par le resume,plusieurs taches sans protocole BRACS BACH,architecture contrainte distincte de audit post hoc GNN gele,https://proceedings.mlr.press/v119/koh20a.html,resume editeur
CF-GNNExplainer,graphes,aretes structurales,suppression minimale aretes,non pertinent,plausibilite biologique non etablie,plusieurs jeux graphes,changement de classe sans concept clinique cible,https://arxiv.org/abs/2102.03322,resume et depot officiel
Amnesic Probing,NLP,proprietes linguistiques,effacement information latente,non pertinent,non etabli par le resume,non pertinent,antecedent explicite de distinction encodage et utilisation,https://doi.org/10.1162/tacl_a_00359,resume editeur
LEACE,NLP et representations,concepts lineairement decodables,effacement affine minimal,non pertinent,minimalite latente sans garantie morphologique,non pertinent,baseline indispensable mais effacement lineaire seulement,https://arxiv.org/abs/2306.03819,resume et introduction
A Closer Look at CBM Interventions,concept bottlenecks,concepts supervises,procedure interventionnelle,non etabli,non etabli,non etabli,comparer validite de procedure avant revendication generale,https://proceedings.mlr.press/v202/shin23a.html,notice et resume partiel
Learning to Intervene on Concept Bottlenecks,concept bottlenecks,concepts interpretables,apprentissage de interventions,non etabli,non etabli,non etabli,interventions conceptuelles deja etudiees en 2024,https://proceedings.mlr.press/v235/steinmann24a.html,notice et resume partiel
PICASSO,histopathologie foundation models,dictionnaire sparse de concepts,modulation de concepts et suppression artefacts,Emb2Img diffusion,visualisation et verification pathologistes decrites,plusieurs jeux et taches,recouvrement majeur avec audit conceptuel et retour image; GNN cellulaire multicouche reste axe a comparer,https://pmc.ncbi.nlm.nih.gov/articles/PMC13307983/,sections indexees introduction methodes discussion; preprint 2026
Cellina,transcriptomique spatiale,etat cellulaire et contexte,perturbations de voisins et aretes,non etabli par le resume,non etabli par le resume,plusieurs tissus,contre-factuels de graphe tissulaire deja proposes; cible expression distincte du diagnostic H&E,https://arxiv.org/abs/2606.08493,resume preprint 2026
MoPaDi,pathologie,attributs morphologiques,contrefactuels par diffusion,oui,details a verifier dans texte integral,non etabli dans extrait,edition realiste de pathologie deja exploree,https://aacrjournals.org/cancerres/article/doi/10.1158/0008-5472.CAN-25-5645/786406/Counterfactual-Diffusion-Models-Provide,extrait editeur 2026
